ROLE|TDTYPE
TECHNICAL|DESIGN DEBT
TECHNICAL|REQUIREMENT DEBT
MANAGEMENT|CODE DEBT
TECHNICAL|REQUIREMENT DEBT
MANAGEMENT|DESIGN DEBT
ARCHITECT|TEST DEBT
ARCHITECT|INFRASTRUCTURE DEBT
ARCHITECT|DESIGN DEBT
TECHNICAL|DESIGN DEBT
ARCHITECT|CODE DEBT
TECHNICAL|DESIGN DEBT
TECHNICAL|CODE DEBT
TECHNICAL|TEST DEBT
MANAGEMENT|PROCESS DEBT
MANAGEMENT|TEST DEBT
MANAGEMENT|TEST DEBT
ARCHITECT|PROCESS DEBT
TECHNICAL|TEST DEBT
ARCHITECT|CODE DEBT
MANAGEMENT|DESIGN DEBT
TECHNICAL|TEST DEBT
TECHNICAL|CODE DEBT
MANAGEMENT|TEST DEBT
TECHNICAL|CODE DEBT
MANAGEMENT|DESIGN DEBT
TECHNICAL|DESIGN DEBT
MANAGEMENT|DOCUMENTATION DEBT
TECHNICAL|PROCESS DEBT
MANAGEMENT|DESIGN DEBT
MANAGEMENT|PROCESS DEBT
TECHNICAL|TEST DEBT
